"executed","deviceWidth","deviceHeight","touchX","touchY"
"1","300","250","0.31","0.22"
"1","300","250","0.25","0.97"
"1","300","250","0.17","0.55"
"1","300","250","0.22","0.14"
"1","300","250","0.44","0.49"
"1","300","250","0.44","0.56"
"1","300","250","0.27","0.94"
"1","300","250","0.03","0.56"
"1","300","250","0.01","0.06"
"1","300","250","0.75","0.63"
"1","300","250","0.26","0.44"
"1","300","250","0.41","0.62"
"1","300","250","0.30","0.67"
"1","300","250","0.02","0.05"
"1","300","250","0.01","0.56"
"1","300","250","0.12","0.37"
"1","300","250","0.03","0.05"
"1","300","250","0.01","0.33"
"1","300","250","0.23","0.44"
"1","300","250","0.67","0.14"
"1","300","250","0.21","0.65"
"1","300","250","0.33","0.76"
"1","300","250","0.17","0.46"
"1","300","250","0.41","0.28"
"1","300","250","0.23","0.62"
"1","300","250","0.05","0.61"
"1","300","250","0.27","0.95"
"1","300","250","0.02","0.63"
"1","300","250","0.03","0.05"
"1","300","250","0.05","0.59"
"1","300","250","0.84","0.70"
"1","300","250","0.26","0.46"
"1","300","250","0.05","0.23"
"1","300","250","0.19","0.27"
"1","300","250","0.24","0.27"
"1","300","250","0.38","0.25"
"1","300","250","0.26","0.98"
"1","300","250","0.72","0.87"
"1","300","250","0.22","0.39"
"1","300","250","0.17","0.42"
"1","300","250","0.62","0.47"
"1","300","250","0.50","0.19"
"1","300","250","0.65","0.61"
"1","300","250","0.38","0.72"
"1","300","250","0.21","0.49"
"1","300","250","0.01","0.38"
"1","300","250","0.10","0.98"
"1","300","250","0.01","0.25"
"1","300","250","0.09","0.40"
"1","300","250","0.29","0.48"
"1","300","250","0.27","0.81"
"1","300","250","0.12","0.81"
"1","300","250","0.02","0.32"
"1","300","250","0.08","0.67"
"1","300","250","0.12","0.27"
"1","300","250","0.22","0.53"
"1","300","250","0.05","0.45"
"1","300","250","0.07","0.65"
"1","300","250","0.01","0.13"
"1","300","250","0.07","0.20"
"1","300","250","0.17","0.20"
"1","300","315","0.09","-0.02"
"1","300","250","0.24","0.44"
"1","300","250","0.26","0.79"
"1","300","250","0.01","0.13"
"1","300","250","0.08","0.30"
"1","300","250","0.03","0.05"
"1","300","250","0.88","0.94"
"1","300","250","0.61","0.77"
"1","300","250","0.17","0.94"
"1","300","250","0.35","0.68"
"1","300","250","0.03","0.05"
"1","300","250","0.05","0.77"
"1","300","250","0.25","0.02"
"1","300","250","0.19","0.42"
"1","300","250","0.13","0.70"
"1","300","250","0.58","1.00"
"1","300","250","0.32","0.42"
"1","300","250","0.03","0.05"
"1","300","250","0.03","0.06"
"1","300","250","0.07","0.20"
"1","300","250","0.03","0.05"
"1","300","250","0.03","0.05"
"1","300","250","0.44","0.37"
"1","300","250","0.12","0.26"
"1","300","251","0.02","0.04"
"1","300","250","0.03","0.05"
"1","300","250","0.04","0.69"
"1","300","250","0.14","0.89"
"1","300","250","0.03","0.05"
"1","300","250","0.07","0.20"
"1","300","250","0.17","0.45"
"1","300","250","0.03","0.06"
"1","300","250","0.87","0.27"
"1","300","250","0.51","0.43"
"1","300","250","0.14","0.02"
"1","300","250","0.03","0.45"
"1","300","250","0.14","0.76"
"1","300","250","0.03","0.36"
"1","300","250","0.03","0.05"
"1","300","250","0.18","0.86"
"1","300","250","0.01","0.74"
"1","300","250","0.03","0.05"
"1","300","250","0.24","0.34"
"1","300","250","0.05","0.41"
"1","300","250","0.51","0.83"
"1","300","250","0.07","0.20"
"1","300","250","0.91","0.13"
"1","300","250","0.05","0.19"
"1","300","250","0.37","0.79"
