"touchX","touchY","deviceWidth","deviceHeight"
"0.1267","0.8680","300","250"
"0.2429","0.7064","300","250"
"0.2200","0.2640","300","250"
"0.0667","0.2000","300","250"
"0.3294","0.4606","300","250"
"0.2667","0.8480","300","250"
"0.0248","0.3967","300","250"
"0.3277","0.4306","300","250"
"0.2328","0.5125","300","250"
"0.2745","0.5845","300","250"
"0.0699","0.1599","300","250"
"0.0515","0.7984","300","250"
"0.3333","0.2000","300","250"
"0.7192","0.6097","300","250"
"0.0233","0.3960","300","250"
"0.0814","0.3767","300","250"
"0.8000","0.8360","300","250"
"0.0681","0.8044","300","250"
"0.7603","0.5403","300","250"
"0.3875","0.9630","300","250"
"0.0250","0.0500","300","250"
"0.0564","0.7444","300","250"
"0.6423","0.0649","300","250"
"0.5699","0.6591","300","250"
"0.3028","0.4846","300","250"
"0.0250","0.0500","300","250"
"0.1156","0.0933","300","250"
"0.0250","0.0500","300","250"
"0.0614","0.7064","300","250"
"0.1889","0.2667","300","250"
"0.1147","0.8779","300","250"
"0.0250","0.0500","300","250"
"0.1963","0.4587","300","250"
"0.0250","0.0500","300","250"
"0.1042","0.1290","300","250"
"0.0580","0.7676","300","250"
"0.0250","0.0500","300","250"
"0.0233","0.0480","300","250"
"0.0250","0.0500","300","250"
"0.9552","0.4166","300","250"
"0.0250","0.0500","300","250"
"0.9799","0.1617","300","250"
"0.0250","0.0500","300","250"
"0.2117","0.9180","300","250"
"0.7867","0.6160","300","250"
"0.2311","0.9973","300","250"
"0.0914","0.7684","300","250"
"0.8503","0.8084","300","250"
"0.0250","0.0500","300","250"
"0.0897","0.3167","300","250"
"0.1396","0.6459","300","250"
"0.2196","0.3787","300","250"
"0.0250","0.0500","300","250"
"0.5133","0.9040","300","250"
"0.2033","0.0760","300","250"
"0.2533","0.7200","300","250"
"0.2029","0.3447","300","250"
"0.0700","0.5880","300","250"
"0.2745","0.6065","300","250"
"0.6317","0.1140","300","250"
"0.0250","0.0500","300","250"
"0.0250","0.0500","300","250"
"0.0367","0.5720","300","250"
"0.0333","0.4960","300","250"
"0.0111","0.1333","300","250"
"0.1763","0.9682","300","250"
"0.2256","0.7827","300","250"
"0.1413","0.4346","300","250"
"0.3747","0.4113","300","250"
"0.7850","0.1580","300","250"
"0.2267","0.4920","300","250"
"0.0111","0.1333","300","250"
"0.0333","0.0640","300","250"
"0.3600","0.4880","300","250"
"0.3995","0.4444","300","250"
"0.5757","0.2807","300","250"
"0.3414","0.6858","300","250"
"0.0233","0.0480","300","250"
"0.0111","0.6693","300","250"
"0.4975","0.2148","300","250"
"0.0333","0.0640","300","250"
"0.0250","0.0500","300","250"
"0.1513","0.6085","300","250"
"0.1751","0.5366","300","250"
"0.4556","0.9107","300","250"
"0.2567","0.8760","300","250"
"0.2745","0.7084","300","250"
"0.1933","0.9920","300","250"
"0.8700","0.2560","300","250"
"0.2574","0.9668","300","250"
"0.0265","0.4826","300","250"
"0.1267","0.4640","300","250"
"0.5833","0.0400","300","250"
"0.0315","0.8144","300","250"
"0.0250","0.0500","300","250"
"0.2262","0.7264","300","250"
"0.0400","0.9880","300","250"
"0.2333","0.3640","300","250"
"0.0165","0.7703","300","250"
"0.0867","0.9760","300","250"
"0.0822","0.7413","300","250"
"0.2667","0.6480","300","250"
"0.0667","0.2000","300","250"
"0.3161","0.3287","300","250"
"0.2100","0.7040","300","250"
"0.7672","0.1077","300","250"
"0.1100","0.5640","300","250"
"0.0250","0.0500","300","250"
"0.0133","0.6080","300","250"
"0.1300","0.0360","300","250"
"0.1489","0.8587","300","250"
"0.0198","0.4327","300","250"
"0.2299","0.9671","300","250"
"0.0433","0.7360","300","250"
"0.0331","0.3707","300","250"
"0.1498","0.5977","300","250"
"0.0581","0.6525","300","250"
"0.2233","0.7080","300","250"
"0.1267","0.2320","300","250"
"0.1796","0.8123","300","250"
"0.0250","0.0500","300","250"
"0.2395","0.9822","300","250"
"0.1167","0.4800","300","250"
"0.0599","0.2325","300","250"
"0.6733","0.5200","300","250"
"0.0864","0.3667","300","250"
"0.0889","0.8373","300","250"
"0.4656","0.2409","300","250"
"0.0764","0.5346","300","250"
"0.8196","0.7037","300","250"
"0.5410","0.4167","300","250"
"0.2150","0.4140","300","250"
"0.1247","0.7944","300","250"
"0.4226","0.2088","300","250"
"0.0683","0.6980","300","250"
"0.3633","0.6160","300","250"
"0.0667","0.2000","300","250"
"0.1219","0.6404","300","250"
"0.8470","0.5546","300","250"
"0.7854","0.2728","300","250"
"0.0491","0.3539","300","250"
"0.2949","0.2277","300","250"
"0.9067","0.7120","300","250"
"0.0767","0.5960","300","250"
"0.1618","0.5073","300","250"
"0.1111","0.4627","300","250"
"0.0100","0.6200","300","250"
"0.0267","0.0720","300","250"
"0.0250","0.0500","300","250"
"0.3233","0.3280","300","250"
"0.0233","0.0480","300","250"
"0.2500","0.9520","300","250"
"0.0215","0.8203","300","250"
"0.1906","0.9016","300","250"
"0.0250","0.0500","300","250"
"0.2400","0.7120","300","250"
"0.2445","0.5206","300","250"
"0.4324","0.6432","300","250"
"0.0317","0.1580","300","250"
"0.9487","0.4047","300","250"
"0.0250","0.0500","300","250"
"0.0044","0.5339","300","250"
"0.0398","0.3767","300","250"
"0.0614","0.8283","300","250"
"0.6340","0.3127","300","250"
"0.0250","0.0500","300","250"
"0.4600","0.5440","300","250"
"0.0233","0.0480","300","250"
"0.6970","0.9122","300","250"
"0.3984","0.5710","300","250"
"0.1356","0.7467","300","250"
"0.2733","0.9160","300","250"
"0.5565","0.6087","300","250"
"0.1618","0.6510","300","250"
"0.2117","0.9980","300","250"
"0.0600","0.3760","300","250"
"0.0032","0.1189","300","250"
"0.0333","0.0640","300","250"
"0.4700","0.8880","300","250"
"0.0900","0.9560","300","250"
"0.0698","0.5246","300","250"
"0.2217","0.6831","300","250"
"0.0633","0.5760","300","250"
"0.1014","0.8443","300","250"
"0.7367","0.0800","300","250"
"0.3000","0.4280","300","250"
"0.1867","0.7040","300","250"
"0.0250","0.0500","300","250"
"0.0300","0.0040","300","250"
"0.0315","0.2888","300","250"
"0.0333","0.0640","300","250"
"0.2617","0.0420","300","250"
"0.0567","0.2160","300","250"
"0.9818","0.6126","300","250"
"0.0167","0.0320","300","250"
"0.1667","0.2000","300","250"
"0.1033","0.5120","300","250"
"0.2317","0.9980","300","250"
"0.0660","0.1180","301","251"
"0.1533","0.9800","300","250"
"0.0333","0.0640","300","250"
"0.0111","0.1333","300","250"
"0.1633","0.4040","300","250"
"0.2467","0.3520","300","250"
"0.2678","0.2548","300","250"
"0.0250","0.0500","300","250"
"0.0300","0.5720","300","250"
"0.2667","0.9080","300","250"
"0.1222","0.2667","300","250"
"0.2767","0.6080","300","250"
"0.2245","0.4546","300","250"
"0.1913","0.8303","300","250"
"0.0498","0.8044","300","250"
"","","",""
"0.0864","0.2649","300","250"
"0.2229","0.7044","300","250"
"0.0465","0.6745","300","250"
"0.0417","0.8380","300","250"
"0.1120","0.6669","300","250"
"0.0511","0.7387","300","250"
"0.3507","0.8269","300","250"
"0.1396","0.5020","300","250"
"0.0825","0.9730","300","250"
"0.2527","0.3047","300","250"
"0.8367","0.3240","300","250"
"0.4928","0.4764","300","250"
"0.1433","0.4480","300","250"
"0.3267","0.5640","300","250"
"0.0376","0.0784","300","250"
"0.0900","0.5800","300","250"
"0.0250","0.0500","300","250"
"0.1567","0.6880","300","250"
"0.0067","0.9840","300","250"
"0.0648","0.6744","300","250"
"0.0667","0.2000","300","250"
"0.0265","0.6403","300","250"
"0.3311","0.4267","300","250"
"0.2096","0.9086","300","250"
"0.0250","0.0500","300","250"
"0.4033","0.1680","300","250"
"0.0000","0.6000","300","250"
"0.2262","0.1948","300","250"
"0.0333","0.0640","300","250"
"0.1067","0.5040","300","250"
"0.2795","0.0229","300","250"
"0.1330","0.4887","300","250"
"0.0698","0.2608","300","250"
"0.2911","0.7564","300","250"
"0.0250","0.0500","300","250"
"0.1680","0.1669","300","250"
"0.0667","0.2000","300","250"
"0.0667","0.2000","300","250"
"0.2196","0.1249","300","250"
"0.0250","0.0500","300","250"
"0.0667","0.2000","300","250"
"0.0333","0.0640","300","250"
"0.0333","0.0640","300","250"
"0.5071","0.2750","300","250"
"0.8900","0.3480","300","250"
"0.1433","0.7840","300","250"
"0.5105","0.6083","300","250"
"0.2467","0.9200","300","250"
"0.0600","0.2629","300","251"
"0.3414","0.4727","300","250"
"0.0167","0.0320","300","250"
"0.0250","0.0500","300","250"
"0.0250","0.0500","300","250"
"0.1176","0.2458","300","250"
"0.0667","0.2000","300","250"
"0.0557","0.4875","300","250"
"0.0232","0.4986","300","250"
"0.0166","0.6043","300","250"
"0.8402","0.6396","300","250"
"0.0233","0.7160","300","250"
"0.4043","0.4626","300","250"
"0.0312","0.4020","300","250"
"0.0667","0.2000","300","250"
"0.0333","0.0640","300","250"
"0.0498","0.4786","300","250"
"0.0315","0.9183","300","250"
"0.2595","0.9143","300","250"
"0.1897","0.5550","300","250"
"0.0033","0.1400","300","250"
"0.9619","0.0649","300","250"
"0.1763","0.8484","300","250"
"0.5258","0.8283","300","250"
"0.0731","0.3327","300","250"
"0.2279","0.6644","300","250"
"0.1867","0.2640","300","250"
"0.1000","0.5400","300","250"
"0.0111","0.1333","300","250"
"0.4700","0.3800","300","250"
"0.8767","0.5840","300","250"
"0.1450","0.7460","300","250"
"0.1796","0.6545","300","250"
"0.6173","0.4166","300","250"
"0.0250","0.0500","300","250"
"0.1447","0.7344","300","250"
"0.3174","0.7109","300","250"
"0.0196","0.0391","300","251"
"0.0167","0.0320","300","250"
"0.0564","0.6525","300","250"
"0.0288","0.6512","300","250"
"0.1133","0.6640","300","250"
"0.1100","0.2400","300","250"
"0.1300","0.8560","300","250"
"0.3433","0.6160","300","250"
"0.5363","0.7479","300","251"
"0.3033","0.3320","300","250"
"0.0333","0.0640","300","250"
"0.6117","0.7100","300","250"
"0.0250","0.0500","300","250"
"0.1400","0.5840","300","250"
"0.1600","0.0280","300","250"
"0.0667","0.2000","300","250"
"0.6193","0.2405","300","250"
"0.1730","0.1888","300","250"
"0.0250","0.0500","300","250"
"0.6173","0.0649","300","250"
"0.1767","0.5280","300","250"
"0.0947","0.2588","300","250"
"","","",""
"0.0967","0.4000","300","250"
"0.0400","0.4720","300","250"
"0.0333","0.0640","300","250"
"0.1594","0.3000","320","240"
"0.1352","0.2993","300","251"
"0.1047","0.7684","300","250"
"0.1567","0.7760","300","250"
"0.2533","0.7920","300","250"
"0.3233","0.8560","300","250"
"0.0567","0.9800","300","250"
"0.3800","0.2080","300","250"
"0.1047","0.0229","300","250"
"0.2433","0.3880","300","250"
"0.2567","0.9720","300","250"
"0.0250","0.0500","300","250"
"0.0015","0.7764","300","250"
"0.3033","0.5680","300","250"
"0.2482","0.8192","300","250"
"0.0167","0.0320","300","250"
"0.3910","0.7204","300","250"
"0.0250","0.0500","300","250"
"0.1333","0.9880","300","250"
"0.0250","0.0500","300","250"
"0.8511","0.4107","300","250"
"0.3078","0.7944","300","250"
"0.0333","0.0640","300","250"
"0.0917","0.5420","300","250"
"0.0767","0.5320","300","250"
"0.9643","0.6183","300","250"
"0.1222","0.2667","300","250"
"0.1300","0.9400","300","250"
"0.0250","0.0500","300","250"
